Year,Refugees,Asylum-seekers,IDPs,Stateless
1951,2116011,,,
1952,1952928,,,
1953,1847304,,,
1954,1749628,,,
1955,1717966,,,
1956,1767975,,,
1957,1742514,,,
1958,1698310,,,
1959,1674185,,,
1960,1656664,,,
1961,1789067,,,
1962,1765622,,,
1963,1682403,,,
1964,3079949,,,
1965,3531615,,,
1966,3501013,,,
1967,2356991,,,
1968,2463736,,,
1969,2531177,,,
1970,2464730,,,
1971,3279710,,,
1972,3251850,,,
1973,2901335,,,
1974,2994463,,,
1975,3529434,,,
1976,4270631,,,
1977,4518659,,,
1978,5065844,,,
1979,6279912,,,
1980,8454917,,,
1981,9714297,,,
1982,10319353,,,
1983,10620784,,,
1984,10728307,,,
1985,11864046,,,
1986,12633964,,,
1987,13128334,,,
1988,14347031,,,
1989,14732885,,,
1990,17395914,,,
1991,16854762,,,
1992,17838020,,,
1993,16325299,743601,4198400,
1994,15753494,644640,5322990,
1995,14895916,986458,4286690,
1996,13356861,977087,4853712,
1997,12014967,1028200,4573112,
1998,11480438,977800,5063880,
1999,11686760,1027400,3968648,
2000,12129079,947294,5998501,
2001,12116301,943339,5096502,
2002,10593526,1093037,4646641,
2003,9592247,995478,4181701,
2004,9572719,884204,5426539,1455861
2005,8661293,801041,6616791,2383651
2006,9876924,740171,12794268,5805941
2007,11390108,739894,13740317,2938538
2008,10488934,823922,14442227,6573465
2009,10395724,987875,15628057,6559572
2010,10548848,835871,14697804,3463073
2011,10403951,895604,15473378,3477100
2012,10497028,941455,17670368,3335772
2013,11698238,1162819,23925555,3469268
2014,14384302,1794615,32274619,3492255
2015,16110280,3223302,37494172,3687759
2016,17184291,2729357,36627127,3242206
2017,19940568,3089378,39118516,3853982
2018,20359556,3501521,41425168,3851981
2019,20444819,4148010,43503362,4161980
